Repository                                          Stars  Created at  Description                                            
cloudflare/cfssl                                    4942   2014        CFSSL: Cloudflare's PKI and TLS toolkit                
fission/fission                                     4941   2016        Fast and Simple Serverless Functions for Kubernete...  
src-d/go-git                                        4929   2015        A highly extensible Git implementation in pure Go.     
ginuerzh/gost                                       4920   2015        GO Simple Tunnel - a simple tunnel written in gola...  
bitly/oauth2_proxy                                  4910   2012        A reverse proxy that provides authentication with ...  
adnanh/webhook                                      4893   2015        webhook is a lightweight incoming webhook server t...  
hashicorp/serf                                      4863   2013        Service orchestration and management tool.             
nsf/gocode                                          4840   2010        An autocompletion daemon for the Go programming la...  
akavel/up                                           4818   2018        Ultimate Plumber is a tool for writing Linux pipes...  
rakyll/boom                                         4817   2014        HTTP(S) load generator, ApacheBench (ab) replaceme...  
cdr/sshcode                                         4815   2019        Run VS Code on any server over SSH.                    
kubernetes-sigs/kustomize                           4806   2018        Customization of kubernetes YAML configurations        
kubernetes/kompose                                  4805   2016        Go from Docker Compose to Kubernetes                   
ponzu-cms/ponzu                                     4788   2016        Headless CMS with automatic JSON API. Featuring au...  
go-swagger/go-swagger                               4778   2014        Swagger 2.0 implementation for go                      
schollz/find                                        4726   2015        High-precision indoor positioning framework for mo...  
go-playground/validator                             4721   2015        :100:Go Struct and Field validation, including Cro...  
olivere/elastic                                     4710   2012        Elasticsearch client for Go.                           
concourse/concourse                                 4681   2014        Concourse is a container-based continuous thing-do...  
pulumi/pulumi                                       4672   2016        Modern Infrastructure as Code - Create, deploy, an...  
photoprism/photoprism                               4666   2018        Personal Photo Management powered by Go and Google...  
fiorix/freegeoip                                    4641   2010        IP geolocation web server                              
perkeep/perkeep                                     4628   2011        Perkeep (née Camlistore) is your personal storage...   
argoproj/argo                                       4605   2017        Argo Workflows: Get stuff done with Kubernetes.        
davecheney/httpstat                                 4592   2016        It's like curl -v, with colours.                       
dragonflyoss/Dragonfly                              4568   2017        Dragonfly is an intelligent P2P based image and fi...  
OpenDiablo2/OpenDiablo2                             4533   2018        An open source re-implementation of Diablo 2           
slackhq/nebula                                      4531   2019        A scalable overlay networking tool with a focus on...  
kubernetes-sigs/kind                                4524   2018        Kubernetes IN Docker - local clusters for testing ...  
golangci/golangci-lint                              4519   2018        Linters Runner for Go. 5x faster than gometalinter...  
shirou/gopsutil                                     4518   2014        psutil for golang                                      
wallix/awless                                       4517   2016        A Mighty CLI for AWS                                   
facebookarchive/grace                               4507   2012        Graceful restart & zero downtime deploy for Go ser...  
gotify/server                                       4499   2018        A simple server for sending and receiving messages...  
fnproject/fn                                        4441   2017        The container native, cloud agnostic serverless pl...  
google/battery-historian                            4438   2014        Battery Historian is a tool to analyze battery con...  
tektoncd/pipeline                                   4418   2018        A K8s-native Pipeline resource.                        
gophish/gophish                                     4389   2013        Open-Source Phishing Toolkit                           
google/gxui                                         4383   2015        An experimental Go cross platform UI library.          
lightningnetwork/lnd                                4368   2016        Lightning Network Daemon ⚡️                            
fogleman/nes                                        4351   2015        NES emulator written in Go.                            
crawlab-team/crawlab                                4336   2019        Distributed web crawler admin platform for spiders...  
